ferme_direction,tonnage_class,tonnage,pointcall,year,homeport_state_1789_fr,homeport,ferme_bureau,flag,pointcall_province,pointcall_action,pointcall_admiralty
,[51-100],72,Dunkerque,1787,France,Brest,,French,Flandre,out,Dunkerque
,[201-500],320,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[201-500],250,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],40,Dunkerque,1787,France,Plassac,,French,Flandre,in,Dunkerque
,[101-200],125,Dunkerque,1787,France,île d' Yeu,,French,Flandre,in,Dunkerque
,[51-100],52,Dunkerque,1787,France,Roque de Tau,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Plassac,,French,Flandre,in,Dunkerque
,[21-50],48,Dunkerque,1787,France,Argenton,,French,Flandre,in,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Argenton,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],64,Dunkerque,1787,France,La Hougue,,French,Flandre,in,Dunkerque
,[51-100],52,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],160,Dunkerque,1787,France,Martin de Ré,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Argenton,,French,Flandre,in,Dunkerque
,[21-50],28,Dunkerque,1787,France,Le Conquet,,French,Flandre,in,Dunkerque
,[1-20],20,Dunkerque,1787,France,Boulogne,,French,Flandre,in,Dunkerque
,[1-20],10,Dunkerque,1787,France,Boulogne,,French,Flandre,in,Dunkerque
,[51-100],52,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,in,Dunkerque
,[51-100],78,Dunkerque,1787,France,Caen,,French,Flandre,in,Dunkerque
,[51-100],80,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Caen,,French,Flandre,in,Dunkerque
,[21-50],48,Dunkerque,1787,France,Argenton,,French,Flandre,in,Dunkerque
,[21-50],40,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],40,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],90,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],80,Dunkerque,1787,France,Le Havre,,French,Flandre,in,Dunkerque
,[201-500],381,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[201-500],280,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],155,Dunkerque,1787,France,Dieppe,,French,Flandre,in,Dunkerque
,[101-200],140,Dunkerque,1787,France,Saint Martin de Ré,,French,Flandre,in,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],83,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],55,Dunkerque,1787,France,Aber Ildut,,French,Flandre,in,Dunkerque
,[51-100],56,Dunkerque,1787,France,Marennes,,French,Flandre,in,Dunkerque
,[51-100],62,Dunkerque,1787,France,Bourcefranc,,French,Flandre,in,Dunkerque
,[21-50],36,Dunkerque,1787,France,Saint Denis,,French,Flandre,in,Dunkerque
,[101-200],140,Dunkerque,1787,France,Plassac,,French,Flandre,out,Dunkerque
,[51-100],59,Dunkerque,1787,France,Le Conquet,,French,Flandre,in,Dunkerque
Lille,[51-100],54,Gravelines,1787,France,île de Ré,Gravelines,French,Flandre,in,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],49,Dunkerque,1787,France,Saint André de Cuzac,,French,Flandre,in,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
Lille,[51-100],55,Gravelines,1787,France,Ars  en Ré,Gravelines,French,Flandre,in,Dunkerque
,[51-100],68,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],35,Dunkerque,1787,France,Brest,,French,Flandre,in,Dunkerque
Lille,[51-100],90,Gravelines,1787,France,Noirmoutier,Gravelines,French,Flandre,in,Dunkerque
,[51-100],59,Dunkerque,1787,France,Le Conquet,,French,Flandre,in,Dunkerque
Lille,[21-50],50,Gravelines,1787,France,Noirmoutier,Gravelines,French,Flandre,out,Dunkerque
Lille,[51-100],80,Gravelines,1787,France,France [Ars-en-Ré],Gravelines,French,Flandre,out,Dunkerque
