ferme_direction,tonnage_class,tonnage,pointcall,year,homeport_state_1789_fr,homeport,ferme_bureau,flag,pointcall_province,pointcall_action,pointcall_admiralty
,[21-50],50,Dunkerque,1787,France,Le Conquet,,French,Flandre,out,Dunkerque
Lille,[51-100],70,Gravelines,1787,France,France [Ars-en-Ré],Gravelines,French,Flandre,out,Dunkerque
Lille,[51-100],70,Gravelines,1787,France,Ile de Ré,Gravelines,French,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,Etats-Unis d'Amérique,Philadelphie,,USA,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Etats-Unis d'Amérique,Philadelphie,,USA,Flandre,out,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Brest,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,Etats-Unis d'Amérique,Philadelphie,,USA,Flandre,out,Dunkerque
,[51-100],94,Dunkerque,1787,Danemark,Holmestrand,,Danish/Norwegian,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Sunderland,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[201-500],250,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],33,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],94,Dunkerque,1787,Danemark,Holmestrand,,Danish/Norwegian,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[101-200],190,Dunkerque,1787,Grande-Bretagne,Sunderland,,British,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,Etats-Unis d'Amérique,Philadelphie,,USA,Flandre,out,Dunkerque
,[21-50],46,Dunkerque,1787,Grande-Bretagne,Cork,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Hastings,,British,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Hastings,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Hastings,,British,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Douvres,,British,Flandre,out,Dunkerque
Lille,[51-100],54,Gravelines,1787,France,Ars en Ré,Gravelines,French,Flandre,out,Dunkerque
Lille,[21-50],50,Gravelines,1787,,,Gravelines,British,Flandre,out,Dunkerque
,[51-100],58,Dunkerque,1787,France,Locmariaquer,,French,Flandre,in,Dunkerque
Lille,[51-100],98,Gravelines,1787,France,Ile de Ré,Gravelines,French,Flandre,in,Dunkerque
,[51-100],75,Dunkerque,1787,France,Plassac,,French,Flandre,in,Dunkerque
,[101-200],125,Dunkerque,1787,France,Saint Malo,,French,Flandre,in,Dunkerque
,[51-100],89,Dunkerque,1787,France,Bréhat,,French,Flandre,in,Dunkerque
,[51-100],90,Dunkerque,1787,France,Saint Briac,,French,Flandre,out,Dunkerque
,[51-100],59,Dunkerque,1787,France,Morlaix,,French,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,France,Saint Malo,,French,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,France,Marennes,,French,Flandre,out,Dunkerque
,[51-100],70,Dunkerque,1787,France,Saint Malo,,French,Flandre,out,Dunkerque
,[51-100],59,Dunkerque,1787,France,Bréhat,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Saint Malo,,French,Flandre,out,Dunkerque
,[201-500],280,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],130,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],150,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],180,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],120,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],180,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],160,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],145,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,France,Port d' Envaux,,French,Flandre,in,Dunkerque
,[101-200],110,Dunkerque,1787,France,Cherbourg,,French,Flandre,in,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],140,Dunkerque,1787,France,Plassac,,French,Flandre,in,Dunkerque
,[101-200],180,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],80,Dunkerque,1787,Suède,Gotteborg,,Swedish,Flandre,out,Dunkerque
,[51-100],90,Dunkerque,1787,Grande-Bretagne,Wilby,,British,Flandre,in,Dunkerque
,[51-100],80,Dunkerque,1787,France,Île d' Yeu,,French,Flandre,in,Dunkerque
,[1-20],8,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],75,Dunkerque,1787,France,Noirmoutier,,French,Flandre,in,Dunkerque
,[51-100],100,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,in,Dunkerque
,[51-100],76,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[101-200],110,Dunkerque,1787,France,Saint Savinien,,French,Flandre,in,Dunkerque
Lille,[1-20],2,Gravelines,1787,France,Gravelines,Gravelines,French,Flandre,sailing around,Dunkerque
,[51-100],75,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[201-500],234,Dunkerque,1787,France,Saint Valery sur Somme,,French,Flandre,in,Dunkerque
,[21-50],48,Dunkerque,1787,France,Le Havre,,French,Flandre,in,Dunkerque
,[101-200],118,Dunkerque,1787,France,Charente,,French,Flandre,in,Dunkerque
,,,Dunkerque,1787,France,Calais,,French,Flandre,in,Dunkerque
,,,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
Lille,[51-100],55,Gravelines,1787,,,Gravelines,French,Flandre,out,Dunkerque
,[21-50],48,Dunkerque,1787,France,Le Havre,,French,Flandre,in,Dunkerque
,[1-20],12,Dunkerque,1787,Provinces-Unies,Zeriezee [Zierikzee],,Dutch,Flandre,out,Dunkerque
,[101-200],200,Dunkerque,1787,Danemark,Altona,,Danish,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,Autriche,Nieuport,,Austrian NL,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Provinces-Unies,Scheveningen,,Dutch,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],65,Dunkerque,1787,Provinces-Unies,Amsterdam,,Dutch,Flandre,out,Dunkerque
,[51-100],93,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
Lille,[1-20],2,Gravelines,1787,France,Gravelines,Gravelines,French,Flandre,sailing around,Dunkerque
,[21-50],40,Dunkerque,1787,France,Le Havre,,French,Flandre,out,Dunkerque
,[21-50],45,Dunkerque,1787,France,Dunkerque,,French,Flandre,sailing around,Dunkerque
,[1-20],12,Dunkerque,1787,Provinces-Unies,Maasluis,,Dutch,Flandre,out,Dunkerque
,[1-20],4,Dunkerque,1787,France,Dunkerque,,French,Flandre,sailing around,Dunkerque
,[21-50],50,Dunkerque,1787,Provinces-Unies,Tervers,,Dutch,Flandre,out,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[201-500],210,Dunkerque,1787,Danemark,Apenrade,,Danish,Flandre,out,Dunkerque
,[101-200],110,Dunkerque,1787,France,Saint Savinien,,French,Flandre,in,Dunkerque
,[51-100],96,Dunkerque,1787,France,Cherbourg,,French,Flandre,in,Dunkerque
,[21-50],34,Dunkerque,1787,France,Port en Bessin,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Noirmoutier,,French,Flandre,in,Dunkerque
,[101-200],200,Dunkerque,1787,,,,NonFrench,Flandre,in,Dunkerque
,[51-100],99,Dunkerque,1787,France,Rocque de Tau,,French,Flandre,in,Dunkerque
,[21-50],45,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[51-100],75,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],70,Dunkerque,1787,France,Le Conquet,,French,Flandre,in,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],70,Dunkerque,1787,France,Île d' Yeu,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Bordeaux,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Saint Martin de Ré,,French,Flandre,in,Dunkerque
,,,Dunkerque,1787,France,Calais,,French,Flandre,in,Dunkerque
,[51-100],95,Dunkerque,1787,France,Nantes,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Argenton,,French,Flandre,in,Dunkerque
,[51-100],57,Dunkerque,1787,France,La Rochelle,,French,Flandre,in,Dunkerque
,[51-100],65,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,in,Dunkerque
,[51-100],59,Dunkerque,1787,France,Morlaix,,French,Flandre,in,Dunkerque
,[21-50],48,Dunkerque,1787,France,Le Havre,,French,Flandre,in,Dunkerque
,[51-100],75,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],85,Dunkerque,1787,France,Le Havre,,French,Flandre,in,Dunkerque
,[201-500],260,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],40,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,in,Dunkerque
,[21-50],50,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],80,Dunkerque,1787,France,Plassac,,French,Flandre,in,Dunkerque
,[21-50],25,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[21-50],45,Dunkerque,1787,France,Le Conquet,,French,Flandre,out,Dunkerque
,[51-100],90,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[101-200],200,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,France,Le Conquet,,French,Flandre,out,Dunkerque
,[101-200],150,Dunkerque,1787,Autriche,Anvers,,Austrian NL,Flandre,out,Dunkerque
,[201-500],400,Dunkerque,1787,,,,French,Flandre,out,Dunkerque
,[51-100],90,Dunkerque,1787,France,Souillac [Pouillac],,French,Flandre,out,Dunkerque
,[51-100],64,Dunkerque,1787,France,Oissant,,French,Flandre,out,Dunkerque
,[21-50],30,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[51-100],70,Dunkerque,1787,Prusse,Emden,,Prussian,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,Provinces-Unies,Tervers,,Dutch,Flandre,out,Dunkerque
,[101-200],175,Dunkerque,1787,France,Saint Valery,,French,Flandre,out,Dunkerque
,[101-200],155,Dunkerque,1787,France,Nantes,,French,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],80,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,out,Dunkerque
,[51-100],90,Dunkerque,1787,Provinces-Unies,Dort,,Dutch,Flandre,out,Dunkerque
,[201-500],220,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Duché d'Oldenbourg,Oldenbourg,,Oldenburguese,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[201-500],236,Dunkerque,1787,Provinces-Unies,Workum,,Dutch,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,France,Dunkerque,,French,Flandre,sailing around,Dunkerque
,[21-50],50,Dunkerque,1787,Provinces-Unies,Flessingue,,Dutch,Flandre,out,Dunkerque
,[51-100],80,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[51-100],85,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],90,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],80,Dunkerque,1787,Provinces-Unies,Amsterdam,,Dutch,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,Provinces-Unies,Tervers,,Dutch,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],99,Dunkerque,1787,France,Rocque de Tau,,French,Flandre,out,Dunkerque
,[101-200],180,Dunkerque,1787,,Copenhague,,Danish,Flandre,out,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],55,Dunkerque,1787,Provinces-Unies,Tervers,,Dutch,Flandre,out,Dunkerque
,[51-100],70,Dunkerque,1787,France,Saint Malo,,French,Flandre,out,Dunkerque
,[21-50],36,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[21-50],48,Dunkerque,1787,France,Le Conquet,,French,Flandre,out,Dunkerque
,[21-50],30,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Ouessant,,French,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[51-100],93,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,Provinces-Unies,Tervers,,Dutch,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Hambourg,Hambourg,,Hamburguese,Flandre,out,Dunkerque
,[101-200],160,Dunkerque,1787,Suède,Goteborg,,Swedish,Flandre,out,Dunkerque
,[101-200],140,Dunkerque,1787,Suède,Gottenbourg,,Swedish,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,Autriche,Nieuport,,Austrian NL,Flandre,out,Dunkerque
,[51-100],56,Dunkerque,1787,Suède,Warberg [Varberg],,Swedish,Flandre,out,Dunkerque
,[51-100],91,Dunkerque,1787,Suède,Göteborg,,Swedish,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Brouage,,French,Flandre,out,Dunkerque
,[101-200],112,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Calais,,French,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Provinces-Unies,Groeningue,,Dutch,Flandre,out,Dunkerque
,[51-100],96,Dunkerque,1787,Grande-Bretagne,London,,British,Flandre,out,Dunkerque
,[101-200],150,Dunkerque,1787,Grande-Bretagne,Needs [Neath],,British,Flandre,out,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[51-100],55,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[21-50],45,Dunkerque,1787,France,Libourne,,French,Flandre,out,Dunkerque
,[101-200],180,Dunkerque,1787,France,Dunkerque,,French,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,Autriche,Nieuport,,Austrian NL,Flandre,out,Dunkerque
,[51-100],60,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[21-50],40,Dunkerque,1787,Autriche,Nieuport,,Austrian NL,Flandre,out,Dunkerque
,[21-50],25,Dunkerque,1787,France,Boulogne sur Mer,,French,Flandre,out,Dunkerque
,[51-100],55,Dunkerque,1787,Provinces-Unies,Flessingue,,Dutch,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Le Conquet,,French,Flandre,out,Dunkerque
,[1-20],14,Dunkerque,1787,,,,French,Flandre,in,Dunkerque
,[21-50],35,Dunkerque,1787,France,Dunkerque,,French,Flandre,sailing around,Dunkerque
,[51-100],55,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[101-200],120,Dunkerque,1787,Etats-Unis d'Amérique,Nantucket,,USA,Flandre,out,Dunkerque
,[21-50],32,Dunkerque,1787,Grande-Bretagne,Padstow,,British,Flandre,out,Dunkerque
,[51-100],70,Dunkerque,1787,Autriche,Ostende,,Austrian NL,Flandre,out,Dunkerque
,[51-100],100,Dunkerque,1787,Grande-Bretagne,Londres,,British,Flandre,out,Dunkerque
,[1-20],6,Dunkerque,1787,France,Calais,,French,Flandre,in,Dunkerque
,[51-100],70,Dunkerque,1787,Prusse,Emden,,Prussian,Flandre,out,Dunkerque
,[101-200],120,Dunkerque,1787,Grande-Bretagne,Southweld,,British,Flandre,out,Dunkerque
Lille,[51-100],90,Gravelines,1787,,,Gravelines,Danish/Norwegian,Flandre,out,Dunkerque
Lille,[51-100],90,Gravelines,1787,,,Gravelines,Danish/Norwegian,Flandre,in-out,Dunkerque
Lille,[51-100],80,Gravelines,1787,Danemark,Kragero,Gravelines,Danish/Norwegian,Flandre,in-out,Dunkerque
Lille,[51-100],93,Gravelines,1787,Suède,Göteborg,Gravelines,Swedish,Flandre,out,Dunkerque
,[51-100],75,Dunkerque,1787,France,Noirmoutier,,French,Flandre,out,Dunkerque
Lille,[51-100],54,Gravelines,1787,France,Ars en Ré,Gravelines,French,Flandre,out,Dunkerque
,[21-50],44,Dunkerque,1787,France,Saint Malo,,French,Flandre,out,Dunkerque
,[21-50],50,Dunkerque,1787,France,Brouage,,French,Flandre,out,Dunkerque
,[21-50],42,Dunkerque,1787,France,Bourcefranc,,French,Flandre,out,Dunkerque
,[101-200],150,Dunkerque,1787,Suède,Gotteborg,,Swedish,Flandre,out,Dunkerque
,[51-100],58,Dunkerque,1787,France,Caverne,,French,Flandre,out,Dunkerque
Lille,[21-50],48,Gravelines,1787,France,Bourgneuf,Gravelines,French,Flandre,out,Dunkerque
,[1-20],12,Dunkerque,1787,Grande-Bretagne,Ipswich,,British,Flandre,out,Dunkerque
,[21-50],42,Dunkerque,1787,France,Dunkerque,,French,Flandre,in,Dunkerque
,[51-100],99,Dunkerque,1787,France,Roque de Thau,,French,Flandre,out,Dunkerque
,[101-200],162,Dunkerque,1787,France,Ile aux moines,,French,Flandre,in,Dunkerque
,[51-100],66,Dunkerque,1787,Grande-Bretagne,London,,British,Flandre,in,Dunkerque
,[101-200],175,Dunkerque,1787,France,Saint Valéry [sur Somme],,French,Flandre,in,Dunkerque
,[1-20],5,Dunkerque,1787,Grande-Bretagne,Guernesey,,British,Flandre,in,Dunkerque
,[1-20],15,Dunkerque,1787,Grande-Bretagne,Jersey,,British,Flandre,in,Dunkerque
,[1-20],15,Dunkerque,1787,Grande-Bretagne,Jersey,,British,Flandre,in,Dunkerque
,[1-20],5,Dunkerque,1787,Grande-Bretagne,Guernesey,,British,Flandre,in,Dunkerque
,[1-20],15,Dunkerque,1787,Grande-Bretagne,Jersey,,British,Flandre,in,Dunkerque
,[1-20],18,Dunkerque,1787,Grande-Bretagne,Jersey,,British,Flandre,in,Dunkerque
,[51-100],90,Dunkerque,1787,Provinces-Unies,Amsterdam,,Dutch,Flandre,in,Dunkerque
,[51-100],70,Dunkerque,1787,Provinces-Unies,Amsterdam,,Dutch,Flandre,in,Dunkerque
,[51-100],90,Dunkerque,1787,Prusse,Dormeziel [Dornumersiel],,Prussian,Flandre,in,Dunkerque
,[51-100],54,Dunkerque,1787,France,Penerf,,French,Flandre,in,Dunkerque
,[51-100],60,Dunkerque,1787,France,Saint Martin de Ré,,French,Flandre,in,Dunkerque
