flag,homeport_state_1789_fr,destination_ferme_bureau,year,destination_ferme_direction,destination,departure_action,homeport,departure_state_1789_fr,destination_action,departure_ferme_direction,tonnage_class,tonnage,departure,destination_state_1789_fr,departure_ferme_bureau
Swedish,Suède,,1787,,Gothembourg,out,Göteborg,France,in,,[51-100],93,Dunkerque,Suède,
French,France,Charente,1787,La Rochelle,Charente,out,La Hougue,France,in,,[21-50],50,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Dunkerque,France,in,Nantes,[51-100],76,Nantes,France,Nantes
French,France,,1787,,Dunkerque,out,Dunkerque,France,in,,[201-500],350,Tabago,France,
French,France,,1787,,Dunkerque,out,Saint Malo,France,in,La Rochelle,[51-100],100,Charente,France,Charente
Danish/Norwegian,Danemark,,1787,,Krageroé,in-out,Kragero,France,in,Lille,[51-100],80,Gravelines,Danemark,Gravelines
French,France,,1787,,Dunkerque,out,Saint Savinien,France,in,La Rochelle,[101-200],120,Charente,France,Charente
French,France,,1787,,Londres,out,Roque de Thau,France,in,Lille,[51-100],99,Gravelines,Grande-Bretagne,Gravelines
French,France,,1787,,Londres,out,Roque de Thau,France,in,,[51-100],99,Dunkerque,Grande-Bretagne,
French,France,,1787,,Dunkerque,out,Dunkerque,France,in,Rouen,[21-50],30,Rouen,France,Rouen
French,France,,1787,,Dunkerque,out,Noirmoutier,France,in,Nantes,[51-100],75,Nantes,France,Nantes
French,France,,1787,,Dunkerque,out,Boulogne,France,in,Nantes,[51-100],60,Nantes,France,Nantes
French,France,,1787,,Dunkerque,out,Fécamp,France,in,La Rochelle,[51-100],76,Charente,France,Charente
British,Grande-Bretagne,,1787,,Dunkerque,out,Londres,France,in,La Rochelle,[51-100],55,Charente,France,Charente
French,France,,1787,,Dunkerque,out,Calais,France,in,Amiens,,,Calais,France,Calais
French,France,,1787,,Côte du Brésil,out,Dunkerque,France,in,,[201-500],270,Dunkerque,Portugal,
French,France,,1787,,Dunkerque,out,Saint Savinien,France,in,La Rochelle,[101-200],110,Charente,France,Charente
French,France,,1787,,Dunkerque,out,Saint Savinien,France,in,La Rochelle,[101-200],110,Charente,France,Charente
Bremen,Brême,,1787,,Fleckfjord,out,Brème,France,in,Lille,[51-100],60,Gravelines,Danemark,Gravelines
French,France,Rochefort,1787,La Rochelle,Rochefort,out,Nantes,France,in,,[101-200],155,Dunkerque,France,
French,France,,1787,,Dunkerque,out,Bayonne,France,in,Nantes,[51-100],85,Nantes,France,Nantes
French,,,1787,,Dunkerque,out,,France,in,Rouen,[201-500],230,Le Havre,France,Le Havre
NonFrench,,,1787,,Dunkerque,out,,Espagne,in,,[101-200],200,Reus,France,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Livourne,out,Boulogne [sur Mer],France,in,,[101-200],165,Dunkerque,Toscane,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],30,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],30,Dunkerque,Grande-Bretagne,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[101-200],106,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[101-200],106,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[101-200],106,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],90,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],90,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],80,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],92,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],92,Dunkerque,Provinces-Unies,
Dutch,Provinces-Unies,,1787,,Doort,out,Dort,France,in,,[51-100],92,Dunkerque,Provinces-Unies,
French,France,,1787,,,out,Boulogne sur Mer,France,in,,[21-50],28,Dunkerque,,
British,Grande-Bretagne,,1787,,,out,Hastings,France,in,,[1-20],12,Dunkerque,,
French,France,Charente,1787,La Rochelle,Charente,out,Cherbourg,France,in,,[51-100],96,Dunkerque,France,
French,France,,1787,,Tabago,out,Dunkerque,France,in,,[101-200],200,Dunkerque,France,
French,France,,1787,,Tabago,out,Dunkerque,France,in,,[201-500],350,Dunkerque,France,
French,France,Saint-Martin île de Ré,1787,La Rochelle,Saint Martin de Ré,out,Saint Martin en Ré,France,in,,[51-100],60,Dunkerque,France,
French,France,,1787,,Terre Neuve,out,Dunkerque,France,in,,[51-100],90,Dunkerque,Grande-Bretagne,
French,France,Charente,1787,La Rochelle,Charente,out,Cognac,France,in,,[51-100],85,Dunkerque,France,
French,France,Charente,1787,La Rochelle,Charente,out,Charente,France,in,,[101-200],118,Dunkerque,France,
British,Grande-Bretagne,,1787,,Malden,out,Woodbrige,France,in,,[51-100],90,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],48,Dunkerque,Grande-Bretagne,
Austrian NL,Autriche,,1787,,,out,Ostende,France,in,,[21-50],45,Dunkerque,,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],30,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[51-100],60,Dunkerque,Grande-Bretagne,
French,France,,1787,,Saint Domingue,out,Dunkerque,France,in,,[201-500],250,Dunkerque,France,
French,France,,1787,,Petersbourg,out,Dunkerque,France,in,,[201-500],320,Dunkerque,Empire russe,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],30,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],45,Dunkerque,Grande-Bretagne,
French,France,,1787,,Tabago,out,Dunkerque,France,in,,[101-200],200,Dunkerque,France,
French,France,,1787,,Saint Domingue,out,Dunkerque,France,in,,[101-200],200,Dunkerque,France,
Danish/Norwegian,Danemark,,1787,,Larwick [Norway],out,Larwik [Larvik],France,in,,[101-200],115,Dunkerque,Danemark,
Danish/Norwegian,Danemark,,1787,,Larwick [Norway],out,Larwig [[Larvik]],France,in,,[101-200],115,Dunkerque,Danemark,
French,France,,1787,,Saint Pierre en Martinique,out,Dunkerque,France,in,,[51-100],85,Dunkerque,France,
British,Grande-Bretagne,Charente,1787,La Rochelle,Charente,out,Londres,France,in,,[21-50],50,Dunkerque,France,
British,Grande-Bretagne,Charente,1787,La Rochelle,Charente,out,Londres,France,in,,[21-50],50,Dunkerque,France,
British,Grande-Bretagne,Charente,1787,La Rochelle,Charente,out,Londres,France,in,,[21-50],50,Dunkerque,France,
French,France,Saint-Brieuc,1787,Saint-Malo,Saint Brieux,out,Saint Malo,France,in,,[51-100],90,Dunkerque,France,
French,France,,1787,,Côte du Brésil,out,Dunkerque,France,in,,[201-500],220,Dunkerque,Portugal,
French,France,,1787,,Saint Domingue,out,Dunkerque,France,in,,[201-500],350,Dunkerque,France,
French,France,Charente,1787,La Rochelle,Charente,out,Anveaux,France,in,,[51-100],60,Dunkerque,France,
French,France,,1787,,Livourne,out,Dunkerque,France,in,,[101-200],150,Dunkerque,Toscane,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],40,Dunkerque,Grande-Bretagne,
French,France,,1787,,Itlands [Shetland],out,Dunkerque,France,in,,[21-50],30,Dunkerque,Grande-Bretagne,
Danish,Danemark,,1787,,,out,Thiomée,France,in,,[51-100],80,Dunkerque,,
Danish/Norwegian,Danemark,Saint-Martin île de Ré,1787,La Rochelle,Saint Martin de Ré,out,Thordriem,France,in,,[101-200],180,Dunkerque,France,
Dutch,Provinces-Unies,,1787,,,out,Engermont,France,in,,[1-20],12,Dunkerque,,
French,,,1787,,Côte du Brésil,out,,France,in,,[201-500],400,Dunkerque,Portugal,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
British,Grande-Bretagne,,1787,,Lisbonne [mais: Angleterre],out,Hastings,France,in,,[1-20],12,Dunkerque,Grande-Bretagne,
