destination,year,tonnage,tonnage_class,departure_action,destination_action,flag,homeport_state_1789_fr,homeport,departure
Rouen,1787,38,[21-50],in-out,in,French,France,Cherbourg,Dielette
Saint Jagu [Saint Jacut],1787,6,[1-20],out,in,French,France,Saint Jacut,Granville
Granville,1787,15,[1-20],out,in,French,France,La Hougue,Dieppe
Rouen,1787,15,[1-20],out,in,French,France,La Hougue,Granville
Rouen,1787,150,[101-200],out,in,French,France,Honfleur,La Rochelle
Cherbourg,1787,24,[21-50],out,in,French,France,La Hougue,Isigny
Harfleur,1787,18,[1-20],out,in,French,,,Pont Audemer
Granville,1787,24,[21-50],out,in,French,France,La Hougue,Granville
Rouen,1787,24,[21-50],out,in,French,France,La Hougue,Granville
Isigny,1787,20,[1-20],out,in,French,France,La Hougue,Cherbourg
Rouen,1787,20,[1-20],out,in,French,France,La Hougue,Le Havre
Le Havre,1787,18,[1-20],out,in,French,,,Pont Audemer
Rouen,1787,15,[1-20],in-out,in,French,,,Le Havre
Isigny,1787,15,[1-20],out,in,French,,,Rouen
Cherbourg,1787,40,[21-50],out,in,French,France,Barfleur,Rouen
Marennes,1787,79,[51-100],out,in,French,France,Saint Malo,Dunkerque
Saint Malo,1787,75,[51-100],out,in,French,France,Saint Malo,Charente
Saint Malo,1787,70,[51-100],in-out,in,French,France,Saint Malo,Granville
Rochefort,1787,63,[51-100],out,in,French,France,Taillebourg,Charente
Le Havre,1787,40,[21-50],out,in,French,,,Quillebeuf
Rouen,1787,40,[21-50],out,in,French,,,Le Havre
Mediterranée,1787,,,out,in,French,,,Bastia
Cherbourg,1787,45,[21-50],out,in,French,France,Quiberon,Isigny
Granville,1787,75,[51-100],out,in,French,,,Dieppe
Charente,1787,43,[21-50],out,in,French,France,Quiberon,Rochefort
Isigny,1787,45,[21-50],out,in,French,France,Isigny,Rouen
Cherbourg,1787,45,[21-50],out,in,French,France,Isigny,Isigny
Isigny,1787,45,[21-50],out,in,French,France,Isigny,Le Havre
Rouen,1787,40,[21-50],in-out,in,French,France,Cherbourg,Dielette
Port en Bessin,1787,44,[21-50],out,in,French,,,Dieppe
Dieppe,1787,40,[21-50],in-out,in,French,France,Cherbourg,Auderville
Argenton,1787,48,[21-50],out,in,French,France,Argenton,Rouen
Rouen,1787,40,[21-50],in-out,in,French,France,Cherbourg,Auderville
Dunkerque,1787,60,[51-100],out,in,French,France,Nantes,Nantes
