tonnage,homeport_state_1789_fr,year,pointcall_province,pointcall_admiralty,pointcall_action,tonnage_class,homeport,ferme_bureau,flag,pointcall,ferme_direction
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
2,France,1787,Flandre,Dunkerque,sailing around,[1-20],Gravelines,Gravelines,French,Gravelines,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Arundel,Dunkerque,British,Dunkerque,Lille
30,,1787,Flandre,Dunkerque,out,[21-50],Warberg [Varberg],Dunkerque,Swedish,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
180,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
180,France,1787,Flandre,Dunkerque,out,[101-200],Dunkerque,Dunkerque,French,Dunkerque,Lille
280,France,1787,Flandre,Dunkerque,out,[201-500],Dunkerque,Dunkerque,French,Dunkerque,Lille
,France,1787,Flandre,Dunkerque,out,,Dunkerque,Dunkerque,French,Dunkerque,Lille
56,,1787,Flandre,Dunkerque,out,[51-100],Warberg [Varberg],Dunkerque,Swedish,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],Rouen,Dunkerque,French,Dunkerque,Lille
80,France,1787,Flandre,Dunkerque,out,[51-100],France [Ars-en-Ré],Gravelines,French,Gravelines,Lille
40,France,1787,Flandre,Dunkerque,in,[21-50],Le Havre,Dunkerque,French,Dunkerque,Lille
115,,1787,Flandre,Dunkerque,out,[101-200],Papenburg,Dunkerque,Papenburg,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Orforrel [Lawford],Dunkerque,British,Dunkerque,Lille
60,France,1787,Flandre,Dunkerque,out,[51-100],Brest,Dunkerque,French,Dunkerque,Lille
90,,1787,Flandre,Dunkerque,in,[51-100],Dormeziel [Dornumersiel],Dunkerque,Prussian,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
12,,1787,Flandre,Dunkerque,out,[1-20],Lee,Dunkerque,British,Dunkerque,Lille
